NGA,PolID,TStart,TEnd,HS,Description,,,,,,,,,,,
Paris Basin,FrBeakr,-3200,-2301,U,We are aware of no discussion of this topic for the early phases of Bell Beaker culture,but a code of ABSENT would not be justified given the strong evidence for HS in other Old World cultures during the third millennium (see tables on Mesopotamia and Egypt during the First Dynasty) and the disagreement regarding HS in the subsequent Bell Beaker culture.,,,,,,,,,,
Paris Basin,FrBeakr,-2300,-2201,A;P,Suggestive evidence of HS (bones of women and children with signs of trauma thrown into shafts in ring ditch) from Poemmeltes,central Germany,but no consensus,,,,,,,,,
Paris Basin,FrAtlBA,-2200,-1001,U,No evidence of HS during this period. Presence of probable HS in Ireland,but not sufficient to infer absence or presence of HS in French Atlantic Bronze Age,,,,,,,,,,
Paris Basin,FrHallA,-1000,-901,A;P,While there is insufficient evidence to infer a broad practice of HS across the Hallstatt culture,we code scholarly disagreement in order to account for the scholarly discussion of possible HS in multiple regions of the Hallstatt culture.,,,,,,,,,,
Paris Basin,FrHallB,-900,-701,A;P,While there is insufficient evidence to infer a broad practice of HS across the Hallstatt culture,we code scholarly disagreement in order to account for the scholarly discussion of possible HS in multiple regions of the Hallstatt culture.,,,,,,,,,,
Paris Basin,FrHallC,-700,-601,A;P,While there is insufficient evidence to infer a broad practice of HS across the Hallstatt culture,we code scholarly disagreement in order to account for the scholarly discussion of possible HS in multiple regions of the Hallstatt culture.,,,,,,,,,,
Paris Basin,FrHallD,-600,-475,P*,The royal tumuli of the Hallstatt D period include retainer sacrifice,as seen in secondary burials (Green 1998,184),,,,,,,,,
Paris Basin,FrTeneA,-474,-325,P,HS is attested by both Classical sources and archaeological evidence,,,,,,,,,,,
Paris Basin,FrTeneB,-324,-175,P,HS is attested by both Classical sources and archaeological evidence,,,,,,,,,,,
Paris Basin,FrTeneC,-174,-27,P,HS is attested by both Classical sources and archaeological evidence,,,,,,,,,,,
Paris Basin,ItRomPr,-31,199,A~P,HS rare and in the process of disappearing. The Senate had banned HS in 97 BCE. Lex Cornelia (81 BCE) also included a prohibition of the practice. However,Roman definitions of HS do not precisely correspond to ours. The ritual combat of the rex nemorensis probably persisted until c. 200 CE (Jennifer Larson,pers. comm. to Seshat board,January 2021),and we consider this a form of HS.,,,,,,,
Paris Basin,ItRomPr,200,284,A,HS prohibited by Roman law; rex nemorensis likely no longer practiced; killings of Vestal Virgins now take the form of criminal executions (Jennifer Larson,pers. comm. to Seshat board,January 2021).,,,,,,,,,
Paris Basin,TrRomDm,285,394,A,Christianity,,,,,,,,,,,
Paris Basin,FrMervE,481,542,A,Christianity,,,,,,,,,,,
Paris Basin,FrMervM,543,686,A,Christianity,,,,,,,,,,,
Paris Basin,FrMervL,687,750,A,Christianity,,,,,,,,,,,
Paris Basin,FrCarlE,752,839,A,Christianity,,,,,,,,,,,
Paris Basin,FrCarlL,840,986,A,Christianity,,,,,,,,,,,
Paris Basin,FrCaptE,987,1149,A,Christianity,,,,,,,,,,,
Paris Basin,FrCaptL,1150,1327,A,Christianity,,,,,,,,,,,
Paris Basin,FrValoE,1328,1449,A,Christianity,,,,,,,,,,,
Paris Basin,FrValoL,1450,1588,A,Christianity,,,,,,,,,,,
Paris Basin,FrBurbE,1589,1659,A,Christianity,,,,,,,,,,,
Paris Basin,FrBurbL,1660,1788,A,Christianity,,,,,,,,,,,
Iceland,IsCommw,930,1000,P,HS was present in Iceland before Christianity. There are references in written sources to practices of human sacrifice,especially related to famines,,,,,,,,,,
Iceland,IsCommw,1001,1262,A,Conversion to Christianity c. 1000 CE,,,,,,,,,,,
Iceland,NorKing,1263,1380,A,Christianity,,,,,,,,,,,
Latium,ItLatCA,-3600,-1801,U,"""Unknown. """"Widow's Tomb"""" in the Ponte San Pietro necropolis likely predates 3600 BCE""",,,,,,,,,,,
Latium,ItLatBA,-1800,-1001,U,Unknown,,,,,,,,,,,
Latium,ItLatIA,-1000,-717,A;P,While the practice of HS elsewhere in Italy is likely during this period,in Latium there is no archaeological evidence of HS,despite a large number of graves excavated (eg,Osteria dell'Osa). Some scholars believe the volume of later written references to HS as an ancient custom implies it was a real feature of Iron Age ritual in central Italy,and note that it was widespread in the prehistoric Mediterranean. Scholarly disagreement.,,,,,,,
Latium,ItRomRg,-716,-510,A;P,Possible construction sacrifice,but not all scholars accept this. Rex nemorensis rites may have existed already,but insufficient evidence.,,,,,,,,,
Latium,ItRomER,-509,-265,P,Self-Sacrifice (Devotio); possible funerary HS (Early Munera,although not all scholars accept this); rex nemorensis ritual combat almost certainly practiced by this period.,,,,,,,,,,
