Country Code|Country Name|Indicator|Year|Data
156|China|Total Population|1500|103000
156|China|Total Population|1501|
156|China|Total Population|1502|
156|China|Total Population|1503|
156|China|Total Population|1504|
156|China|Total Population|1505|
156|China|Total Population|1506|
156|China|Total Population|1507|
156|China|Total Population|1508|
156|China|Total Population|1509|
156|China|Total Population|1510|
156|China|Total Population|1511|
156|China|Total Population|1512|
156|China|Total Population|1513|
156|China|Total Population|1514|
156|China|Total Population|1515|
156|China|Total Population|1516|
156|China|Total Population|1517|
156|China|Total Population|1518|
156|China|Total Population|1519|
156|China|Total Population|1520|
156|China|Total Population|1521|
156|China|Total Population|1522|
156|China|Total Population|1523|
156|China|Total Population|1524|
156|China|Total Population|1525|
156|China|Total Population|1526|
156|China|Total Population|1527|
156|China|Total Population|1528|
156|China|Total Population|1529|
156|China|Total Population|1530|
156|China|Total Population|1531|
156|China|Total Population|1532|
156|China|Total Population|1533|
156|China|Total Population|1534|
156|China|Total Population|1535|
156|China|Total Population|1536|
156|China|Total Population|1537|
156|China|Total Population|1538|
156|China|Total Population|1539|
156|China|Total Population|1540|
156|China|Total Population|1541|
156|China|Total Population|1542|
156|China|Total Population|1543|
156|China|Total Population|1544|
156|China|Total Population|1545|
156|China|Total Population|1546|
156|China|Total Population|1547|
156|China|Total Population|1548|
156|China|Total Population|1549|
156|China|Total Population|1550|
156|China|Total Population|1551|
156|China|Total Population|1552|
156|China|Total Population|1553|
156|China|Total Population|1554|
156|China|Total Population|1555|
156|China|Total Population|1556|
156|China|Total Population|1557|
156|China|Total Population|1558|
156|China|Total Population|1559|
156|China|Total Population|1560|
156|China|Total Population|1561|
156|China|Total Population|1562|
156|China|Total Population|1563|
156|China|Total Population|1564|
156|China|Total Population|1565|
156|China|Total Population|1566|
156|China|Total Population|1567|
156|China|Total Population|1568|
156|China|Total Population|1569|
156|China|Total Population|1570|
156|China|Total Population|1571|
156|China|Total Population|1572|
156|China|Total Population|1573|
156|China|Total Population|1574|
156|China|Total Population|1575|
156|China|Total Population|1576|
156|China|Total Population|1577|
156|China|Total Population|1578|
156|China|Total Population|1579|
156|China|Total Population|1580|
156|China|Total Population|1581|
156|China|Total Population|1582|
156|China|Total Population|1583|
156|China|Total Population|1584|
156|China|Total Population|1585|
156|China|Total Population|1586|
156|China|Total Population|1587|
156|China|Total Population|1588|
156|China|Total Population|1589|
156|China|Total Population|1590|
156|China|Total Population|1591|
156|China|Total Population|1592|
156|China|Total Population|1593|
156|China|Total Population|1594|
156|China|Total Population|1595|
156|China|Total Population|1596|
156|China|Total Population|1597|
156|China|Total Population|1598|
156|China|Total Population|1599|
156|China|Total Population|1600|160000
156|China|Total Population|1601|
156|China|Total Population|1602|
156|China|Total Population|1603|
156|China|Total Population|1604|
156|China|Total Population|1605|
156|China|Total Population|1606|
156|China|Total Population|1607|
156|China|Total Population|1608|
156|China|Total Population|1609|
156|China|Total Population|1610|
156|China|Total Population|1611|
156|China|Total Population|1612|
156|China|Total Population|1613|
156|China|Total Population|1614|
156|China|Total Population|1615|
156|China|Total Population|1616|
156|China|Total Population|1617|
156|China|Total Population|1618|
156|China|Total Population|1619|
156|China|Total Population|1620|
156|China|Total Population|1621|
156|China|Total Population|1622|
156|China|Total Population|1623|
156|China|Total Population|1624|
156|China|Total Population|1625|
156|China|Total Population|1626|
156|China|Total Population|1627|
156|China|Total Population|1628|
156|China|Total Population|1629|
156|China|Total Population|1630|
156|China|Total Population|1631|
156|China|Total Population|1632|
156|China|Total Population|1633|
156|China|Total Population|1634|
156|China|Total Population|1635|
156|China|Total Population|1636|
156|China|Total Population|1637|
156|China|Total Population|1638|
156|China|Total Population|1639|
156|China|Total Population|1640|
156|China|Total Population|1641|
156|China|Total Population|1642|
156|China|Total Population|1643|
156|China|Total Population|1644|
156|China|Total Population|1645|
156|China|Total Population|1646|
156|China|Total Population|1647|
156|China|Total Population|1648|
156|China|Total Population|1649|
156|China|Total Population|1650|140000
156|China|Total Population|1651|
156|China|Total Population|1652|
156|China|Total Population|1653|
156|China|Total Population|1654|
156|China|Total Population|1655|
156|China|Total Population|1656|
156|China|Total Population|1657|
156|China|Total Population|1658|
156|China|Total Population|1659|
156|China|Total Population|1660|
156|China|Total Population|1661|
156|China|Total Population|1662|
156|China|Total Population|1663|
156|China|Total Population|1664|
156|China|Total Population|1665|
156|China|Total Population|1666|
156|China|Total Population|1667|
156|China|Total Population|1668|
156|China|Total Population|1669|
156|China|Total Population|1670|
156|China|Total Population|1671|
156|China|Total Population|1672|
156|China|Total Population|1673|
156|China|Total Population|1674|
156|China|Total Population|1675|
156|China|Total Population|1676|
156|China|Total Population|1677|
156|China|Total Population|1678|
156|China|Total Population|1679|
156|China|Total Population|1680|
156|China|Total Population|1681|
156|China|Total Population|1682|
156|China|Total Population|1683|
156|China|Total Population|1684|
156|China|Total Population|1685|
156|China|Total Population|1686|
156|China|Total Population|1687|
156|China|Total Population|1688|
156|China|Total Population|1689|
156|China|Total Population|1690|
156|China|Total Population|1691|
156|China|Total Population|1692|
156|China|Total Population|1693|
156|China|Total Population|1694|
156|China|Total Population|1695|
156|China|Total Population|1696|
156|China|Total Population|1697|
156|China|Total Population|1698|
156|China|Total Population|1699|
156|China|Total Population|1700|138000
156|China|Total Population|1701|
156|China|Total Population|1702|
156|China|Total Population|1703|
156|China|Total Population|1704|
156|China|Total Population|1705|
156|China|Total Population|1706|
156|China|Total Population|1707|
156|China|Total Population|1708|
156|China|Total Population|1709|
156|China|Total Population|1710|
156|China|Total Population|1711|
156|China|Total Population|1712|
156|China|Total Population|1713|
156|China|Total Population|1714|
156|China|Total Population|1715|
156|China|Total Population|1716|
156|China|Total Population|1717|
156|China|Total Population|1718|
156|China|Total Population|1719|
156|China|Total Population|1720|
156|China|Total Population|1721|
156|China|Total Population|1722|
156|China|Total Population|1723|
156|China|Total Population|1724|
156|China|Total Population|1725|
156|China|Total Population|1726|
156|China|Total Population|1727|
156|China|Total Population|1728|
156|China|Total Population|1729|
156|China|Total Population|1730|
156|China|Total Population|1731|
156|China|Total Population|1732|
156|China|Total Population|1733|
156|China|Total Population|1734|
156|China|Total Population|1735|
156|China|Total Population|1736|
156|China|Total Population|1737|
156|China|Total Population|1738|
156|China|Total Population|1739|
156|China|Total Population|1740|
156|China|Total Population|1741|
156|China|Total Population|1742|
156|China|Total Population|1743|
156|China|Total Population|1744|
156|China|Total Population|1745|
156|China|Total Population|1746|
156|China|Total Population|1747|
156|China|Total Population|1748|
156|China|Total Population|1749|
156|China|Total Population|1750|225000
156|China|Total Population|1751|
156|China|Total Population|1752|
156|China|Total Population|1753|
156|China|Total Population|1754|
156|China|Total Population|1755|
156|China|Total Population|1756|
156|China|Total Population|1757|
156|China|Total Population|1758|
156|China|Total Population|1759|
156|China|Total Population|1760|
156|China|Total Population|1761|
156|China|Total Population|1762|
156|China|Total Population|1763|
156|China|Total Population|1764|
156|China|Total Population|1765|
156|China|Total Population|1766|
156|China|Total Population|1767|
156|China|Total Population|1768|
156|China|Total Population|1769|
156|China|Total Population|1770|
156|China|Total Population|1771|
156|China|Total Population|1772|
156|China|Total Population|1773|
156|China|Total Population|1774|
156|China|Total Population|1775|
156|China|Total Population|1776|
156|China|Total Population|1777|
156|China|Total Population|1778|
156|China|Total Population|1779|
156|China|Total Population|1780|
156|China|Total Population|1781|
156|China|Total Population|1782|
156|China|Total Population|1783|
156|China|Total Population|1784|
156|China|Total Population|1785|
156|China|Total Population|1786|
156|China|Total Population|1787|
156|China|Total Population|1788|
156|China|Total Population|1789|
156|China|Total Population|1790|
156|China|Total Population|1791|
156|China|Total Population|1792|
156|China|Total Population|1793|
156|China|Total Population|1794|
156|China|Total Population|1795|
156|China|Total Population|1796|
156|China|Total Population|1797|
156|China|Total Population|1798|
156|China|Total Population|1799|
156|China|Total Population|1800|330000
156|China|Total Population|1801|
156|China|Total Population|1802|
156|China|Total Population|1803|
156|China|Total Population|1804|
156|China|Total Population|1805|
156|China|Total Population|1806|
156|China|Total Population|1807|
156|China|Total Population|1808|
156|China|Total Population|1809|
156|China|Total Population|1810|345717
156|China|Total Population|1811|
156|China|Total Population|1812|
156|China|Total Population|1813|
156|China|Total Population|1814|
156|China|Total Population|1815|
156|China|Total Population|1816|
156|China|Total Population|1817|
156|China|Total Population|1818|
156|China|Total Population|1819|
156|China|Total Population|1820|381000
156|China|Total Population|1821|
156|China|Total Population|1822|
156|China|Total Population|1823|
156|China|Total Population|1824|
156|China|Total Population|1825|
156|China|Total Population|1826|
156|China|Total Population|1827|
156|China|Total Population|1828|
156|China|Total Population|1829|
156|China|Total Population|1830|409000
156|China|Total Population|1831|
156|China|Total Population|1832|
156|China|Total Population|1833|
156|China|Total Population|1834|
156|China|Total Population|1835|
156|China|Total Population|1836|
156|China|Total Population|1837|
156|China|Total Population|1838|
156|China|Total Population|1839|
156|China|Total Population|1840|412000
156|China|Total Population|1841|
156|China|Total Population|1842|
156|China|Total Population|1843|
156|China|Total Population|1844|
156|China|Total Population|1845|
156|China|Total Population|1846|
156|China|Total Population|1847|
156|China|Total Population|1848|
156|China|Total Population|1849|
156|China|Total Population|1850|412000
156|China|Total Population|1851|
156|China|Total Population|1852|
156|China|Total Population|1853|
156|China|Total Population|1854|
156|China|Total Population|1855|
156|China|Total Population|1856|
156|China|Total Population|1857|
156|China|Total Population|1858|
156|China|Total Population|1859|
156|China|Total Population|1860|377000
156|China|Total Population|1861|
156|China|Total Population|1862|
156|China|Total Population|1863|
156|China|Total Population|1864|
156|China|Total Population|1865|
156|China|Total Population|1866|
156|China|Total Population|1867|
156|China|Total Population|1868|
156|China|Total Population|1869|
156|China|Total Population|1870|358000
156|China|Total Population|1871|
156|China|Total Population|1872|
156|China|Total Population|1873|
156|China|Total Population|1874|
156|China|Total Population|1875|
156|China|Total Population|1876|
156|China|Total Population|1877|
156|China|Total Population|1878|
156|China|Total Population|1879|
156|China|Total Population|1880|368000
156|China|Total Population|1881|
156|China|Total Population|1882|
156|China|Total Population|1883|
156|China|Total Population|1884|
156|China|Total Population|1885|
156|China|Total Population|1886|
156|China|Total Population|1887|
156|China|Total Population|1888|
156|China|Total Population|1889|
156|China|Total Population|1890|380000
156|China|Total Population|1891|
156|China|Total Population|1892|
156|China|Total Population|1893|
156|China|Total Population|1894|
156|China|Total Population|1895|
156|China|Total Population|1896|
156|China|Total Population|1897|
156|China|Total Population|1898|
156|China|Total Population|1899|
156|China|Total Population|1900|4e+05
156|China|Total Population|1901|
156|China|Total Population|1902|
156|China|Total Population|1903|
156|China|Total Population|1904|
156|China|Total Population|1905|
156|China|Total Population|1906|
156|China|Total Population|1907|
156|China|Total Population|1908|
156|China|Total Population|1909|
156|China|Total Population|1910|423000
156|China|Total Population|1911|
156|China|Total Population|1912|
156|China|Total Population|1913|
156|China|Total Population|1914|
156|China|Total Population|1915|
156|China|Total Population|1916|
156|China|Total Population|1917|
156|China|Total Population|1918|
156|China|Total Population|1919|
156|China|Total Population|1920|472000
156|China|Total Population|1921|
156|China|Total Population|1922|
156|China|Total Population|1923|
156|China|Total Population|1924|
156|China|Total Population|1925|
156|China|Total Population|1926|
156|China|Total Population|1927|
156|China|Total Population|1928|
156|China|Total Population|1929|
156|China|Total Population|1930|489000
156|China|Total Population|1931|
156|China|Total Population|1932|
156|China|Total Population|1933|
156|China|Total Population|1934|
156|China|Total Population|1935|
156|China|Total Population|1936|
156|China|Total Population|1937|
156|China|Total Population|1938|
156|China|Total Population|1939|
156|China|Total Population|1940|518770
156|China|Total Population|1941|
156|China|Total Population|1942|
156|China|Total Population|1943|
156|China|Total Population|1944|
156|China|Total Population|1945|
156|China|Total Population|1946|
156|China|Total Population|1947|
156|China|Total Population|1948|
156|China|Total Population|1949|
156|China|Total Population|1950|546815
156|China|Total Population|1951|
156|China|Total Population|1952|
156|China|Total Population|1953|
156|China|Total Population|1954|
156|China|Total Population|1955|
156|China|Total Population|1956|
156|China|Total Population|1957|
156|China|Total Population|1958|
156|China|Total Population|1959|
156|China|Total Population|1960|667070
156|China|Total Population|1961|
156|China|Total Population|1962|
156|China|Total Population|1963|
156|China|Total Population|1964|
156|China|Total Population|1965|
156|China|Total Population|1966|
156|China|Total Population|1967|
156|China|Total Population|1968|
156|China|Total Population|1969|
156|China|Total Population|1970|818315
156|China|Total Population|1971|
156|China|Total Population|1972|
156|China|Total Population|1973|
156|China|Total Population|1974|
156|China|Total Population|1975|
156|China|Total Population|1976|
156|China|Total Population|1977|
156|China|Total Population|1978|
156|China|Total Population|1979|
156|China|Total Population|1980|981861
156|China|Total Population|1981|
156|China|Total Population|1982|
156|China|Total Population|1983|
156|China|Total Population|1984|
156|China|Total Population|1985|
156|China|Total Population|1986|
156|China|Total Population|1987|
156|China|Total Population|1988|
156|China|Total Population|1989|
156|China|Total Population|1990|1135185
156|China|Total Population|1991|
156|China|Total Population|1992|
156|China|Total Population|1993|
156|China|Total Population|1994|
156|China|Total Population|1995|
156|China|Total Population|1996|
156|China|Total Population|1997|
156|China|Total Population|1998|
156|China|Total Population|1999|
156|China|Total Population|2000|1262645
