Country|Year|drought|locust|Socioec.turmoil|crop.failure|famine|Source
China|1644.00|49.00|2.00|39.00|34.00|38.00|REACHES Chinese Historical Climate Database Qing Dynasty Drought Series https://www1.ncdc.noaa.gov/pub/data/paleo/historical/asia/china/reaches2020drought-category-sites.txt
China|1645.00|11.00|7.00|24.00|41.00|26.00|
China|1646.00|102.00|38.00|41.00|69.00|43.00|
China|1647.00|37.00|100.00|73.00|117.00|146.00|
China|1648.00|21.00|28.00|56.00|80.00|113.00|
China|1649.00|23.00|18.00|30.00|58.00|39.00|
China|1650.00|36.00|22.00|27.00|61.00|39.00|
China|1651.00|38.00|6.00|27.00|72.00|62.00|
China|1652.00|130.00|4.00|48.00|89.00|73.00|
China|1653.00|51.00|5.00|50.00|65.00|67.00|
China|1654.00|42.00|1.00|35.00|72.00|48.00|
China|1655.00|66.00|10.00|24.00|64.00|45.00|
China|1656.00|42.00|32.00|25.00|44.00|21.00|
China|1657.00|54.00|4.00|8.00|33.00|17.00|
China|1658.00|17.00|2.00|13.00|60.00|26.00|
China|1659.00|53.00|4.00|26.00|71.00|34.00|
China|1660.00|39.00|4.00|7.00|33.00|23.00|
China|1661.00|91.00|8.00|19.00|60.00|20.00|
China|1662.00|67.00|2.00|29.00|75.00|12.00|
China|1663.00|50.00|3.00|23.00|46.00|15.00|
China|1664.00|75.00|7.00|36.00|88.00|31.00|
China|1665.00|173.00|13.00|36.00|77.00|67.00|
China|1666.00|52.00|9.00|6.00|25.00|9.00|
China|1667.00|74.00|76.00|19.00|57.00|16.00|
China|1668.00|27.00|11.00|36.00|87.00|24.00|
China|1669.00|27.00|0.00|21.00|41.00|14.00|
China|1670.00|94.00|4.00|45.00|78.00|26.00|
China|1671.00|217.00|4.00|60.00|116.00|72.00|
China|1672.00|63.00|136.00|26.00|112.00|59.00|
China|1673.00|40.00|5.00|7.00|48.00|8.00|
China|1674.00|78.00|7.00|6.00|51.00|19.00|
China|1675.00|18.00|3.00|13.00|37.00|5.00|
China|1676.00|8.00|3.00|14.00|34.00|10.00|
China|1677.00|33.00|9.00|11.00|37.00|13.00|
China|1678.00|104.00|12.00|25.00|68.00|53.00|
China|1679.00|229.00|57.00|38.00|114.00|113.00|
China|1680.00|80.00|6.00|42.00|71.00|88.00|
China|1681.00|72.00|3.00|22.00|52.00|37.00|
China|1682.00|32.00|5.00|13.00|65.00|18.00|
China|1683.00|33.00|3.00|16.00|98.00|23.00|
China|1684.00|63.00|5.00|15.00|61.00|35.00|
China|1685.00|37.00|4.00|9.00|51.00|19.00|
China|1686.00|43.00|20.00|24.00|36.00|16.00|
China|1687.00|40.00|18.00|8.00|34.00|4.00|
China|1688.00|37.00|5.00|10.00|44.00|13.00|
China|1689.00|110.00|8.00|13.00|63.00|39.00|
China|1690.00|100.00|29.00|18.00|97.00|49.00|
China|1691.00|111.00|119.00|42.00|91.00|71.00|
China|1692.00|54.00|20.00|29.00|53.00|49.00|
China|1693.00|82.00|18.00|17.00|60.00|14.00|
