year_from,polity_id,famine_events
1644,CnQingE,38
1645,CnQingE,26
1646,CnQingE,43
1647,CnQingE,146
1648,CnQingE,113
1649,CnQingE,39
1650,CnQingE,39
1651,CnQingE,62
1652,CnQingE,73
1653,CnQingE,67
1654,CnQingE,48
1655,CnQingE,45
1656,CnQingE,21
1657,CnQingE,17
1658,CnQingE,26
1659,CnQingE,34
1660,CnQingE,23
1661,CnQingE,20
1662,CnQingE,12
1663,CnQingE,15
1664,CnQingE,31
1665,CnQingE,67
1666,CnQingE,9
1667,CnQingE,16
1668,CnQingE,24
1669,CnQingE,14
1670,CnQingE,26
1671,CnQingE,72
1672,CnQingE,59
1673,CnQingE,8
1674,CnQingE,19
1675,CnQingE,5
1676,CnQingE,10
1677,CnQingE,13
1678,CnQingE,53
1679,CnQingE,113
1680,CnQingE,88
1681,CnQingE,37
1682,CnQingE,18
1683,CnQingE,23
1684,CnQingE,35
1685,CnQingE,19
1686,CnQingE,16
1687,CnQingE,4
1688,CnQingE,13
1689,CnQingE,39
1690,CnQingE,49
1691,CnQingE,71
1692,CnQingE,49
1693,CnQingE,14
1694,CnQingE,22
1695,CnQingE,16
1696,CnQingE,67
1697,CnQingE,95
1698,CnQingE,39
1699,CnQingE,14
1700,CnQingE,6
1701,CnQingE,10
1702,CnQingE,23
1703,CnQingE,69
1704,CnQingE,90
1705,CnQingE,17
1706,CnQingE,28
1707,CnQingE,24
1708,CnQingE,38
1709,CnQingE,53
1710,CnQingE,31
1711,CnQingE,14
1712,CnQingE,17
1713,CnQingE,63
1714,CnQingE,27
1715,CnQingE,16
1716,CnQingE,22
1717,CnQingE,13
1718,CnQingE,6
1719,CnQingE,12
1720,CnQingE,43
1721,CnQingE,104
1722,CnQingE,82
1723,CnQingE,52
1724,CnQingE,18
1725,CnQingE,25
1726,CnQingE,57
1727,CnQingE,42
1728,CnQingE,7
1729,CnQingE,7
1730,CnQingE,21
1731,CnQingE,37
1732,CnQingE,19
1733,CnQingE,20
1734,CnQingE,4
1735,CnQingE,25
1736,CnQingE,9
1737,CnQingE,16
1738,CnQingE,26
1739,CnQingE,18
1740,CnQingE,9
1741,CnQingE,15
1742,CnQingE,39
1743,CnQingE,94
1744,CnQingE,19
1745,CnQingE,11
1746,CnQingE,16
1747,CnQingE,33
1748,CnQingE,71
1749,CnQingE,16
1750,CnQingE,18
1751,CnQingE,48
1752,CnQingE,57
1753,CnQingE,24
1754,CnQingE,13
1755,CnQingE,41
1756,CnQingE,66
1757,CnQingE,31
1758,CnQingE,38
1759,CnQingE,40
1760,CnQingE,14
1761,CnQingE,11
1762,CnQingE,16
1763,CnQingE,8
1764,CnQingE,13
1765,CnQingE,48
1766,CnQingE,10
1767,CnQingE,9
1768,CnQingE,16
1769,CnQingE,31
1770,CnQingE,26
1771,CnQingE,23
1772,CnQingE,9
1773,CnQingE,13
1774,CnQingE,9
1775,CnQingE,14
1776,CnQingE,8
1777,CnQingE,20
1778,CnQingE,102
1779,CnQingE,60
1780,CnQingE,16
1781,CnQingE,9
1782,CnQingE,13
1783,CnQingE,10
1784,CnQingE,33
1785,CnQingE,110
1786,CnQingE,172
1787,CnQingE,59
1788,CnQingE,22
1789,CnQingE,19
1790,CnQingE,11
1791,CnQingE,9
1792,CnQingE,36
1793,CnQingE,16
1794,CnQingE,29
1795,CnQingE,68
1796,CnQingL,12
1797,CnQingL,17
1798,CnQingL,10
1799,CnQingL,5
1800,CnQingL,12
1801,CnQingL,22
1802,CnQingL,29
1803,CnQingL,27
1804,CnQingL,37
1805,CnQingL,52
1806,CnQingL,37
1807,CnQingL,20
1808,CnQingL,26
1809,CnQingL,27
1810,CnQingL,15
1811,CnQingL,43
1812,CnQingL,61
1813,CnQingL,123
1814,CnQingL,96
1815,CnQingL,17
1816,CnQingL,25
1817,CnQingL,35
1818,CnQingL,8
1819,CnQingL,12
1820,CnQingL,31
1821,CnQingL,31
1822,CnQingL,24
1823,CnQingL,36
1824,CnQingL,25
1825,CnQingL,23
1826,CnQingL,28
1827,CnQingL,10
1828,CnQingL,10
1829,CnQingL,9
1830,CnQingL,24
1831,CnQingL,60
1832,CnQingL,113
1833,CnQingL,119
1834,CnQingL,101
1835,CnQingL,88
1836,CnQingL,55
1837,CnQingL,24
1838,CnQingL,47
1839,CnQingL,18
1840,CnQingL,18
1841,CnQingL,25
1842,CnQingL,16
1843,CnQingL,14
1844,CnQingL,4
1845,CnQingL,15
1846,CnQingL,42
1847,CnQingL,64
1848,CnQingL,30
1849,CnQingL,93
