polity_id,year_from,year_to,longitude,latitude,elevation,sub_category,magnitude,duration
CnQingE,1644,1644,117.391278,39.011594,2.7,Peculiar Epidemics,Uncertain,No description
CnQingE,1644,1644,116.25938400000001,38.478592,9.5,Peculiar Epidemics,Uncertain,No description
CnQingE,1644,1644,115.20971100000001,40.097282,1325.0,Pestilence,Light,No description
CnQingE,1644,1644,116.156333,40.537864,519.4,Pestilence,Heavy,No description
CnQingE,1644,1644,115.048022,40.547444,641.2,Pestilence,Heavy,No description
CnQingE,1644,1644,115.87732700000001,40.947453,1165.6,Pestilence,Heavy,No description
CnQingE,1644,1644,114.379902,40.133757,863.8,Pestilence,Heavy,No description
CnQingE,1644,1644,114.598476,40.836408,1128.8,Pestilence,Heavy,No description
CnQingE,1644,1644,115.476275,38.731365999999994,19.7,Pestilence,Heavy,No description
CnQingE,1644,1644,115.744602,39.20604,27.6,Pestilence,Heavy,No description
CnQingE,1644,1644,113.164625,40.156114,1348.4,Pestilence,Heavy,No description
CnQingE,1644,1644,114.197763,39.375898,1548.9,Pestilence,Heavy,No description
CnQingE,1644,1644,113.247184,39.500212,1040.7,Pestilence,Heavy,No description
CnQingE,1644,1644,113.072675,36.021537,1028.9,Pestilence,Heavy,No description
CnQingE,1644,1644,112.97335,36.572961,1035.3,Pestilence,Heavy,No description
CnQingE,1644,1644,113.24327199999999,36.369323,993.7,Pestilence,Heavy,No description
CnQingE,1644,1644,120.180205,30.784307000000002,2.1,Pestilence,Heavy,No description
CnQingE,1644,1644,121.32328500000001,30.179804999999998,7.3,Pestilence,Heavy,No description
CnQingE,1644,1644,117.11300800000001,26.862021999999996,310.5,Pestilence,Heavy,No description
CnQingE,1644,1644,111.368082,30.291679,117.5,Pestilence,Heavy,No description
CnQingE,1644,1644,111.68368500000001,30.465326,61.9,Pestilence,Heavy,No description
CnQingE,1644,1644,112.99536100000002,28.170764000000002,77.6,Pestilence,Heavy,No description
CnQingE,1644,1644,112.153296,29.443949,33.0,Pestilence,Heavy,No description
CnQingE,1644,1644,112.153296,29.443949,33.0,Pestilence,Heavy,No description
CnQingE,1644,1644,112.445027,28.513175,58.1,Pestilence,Heavy,No description
CnQingE,1644,1644,115.970142,37.348956,28.4,Pestilence,No description,No description
CnQingE,1644,1644,117.113426,36.607995,311.9,Pestilence,No description,No description
CnQingE,1644,1644,114.69678400000001,39.873253000000005,944.7,Pestilence,Uncertain,No description
CnQingE,1644,1644,114.712979,39.360039,857.1,Pestilence,Uncertain,No description
CnQingE,1644,1644,113.808131,40.21567,1138.3,Pestilence,Uncertain,No description
CnQingE,1644,1644,114.146472,39.764821999999995,1305.7,Pestilence,Uncertain,No description
CnQingE,1644,1644,112.405569,39.999114,1390.6,Pestilence,Uncertain,No description
CnQingE,1644,1644,116.32229199999999,37.449157,22.8,Pestilence,Uncertain,No description
CnQingE,1644,1644,116.57203799999999,36.91114,25.0,Pestilence,Uncertain,No description
CnQingE,1644,1644,110.465015,29.159187,179.1,Pestilence,Uncertain,No description
CnQingE,1645,1646,113.115321,30.646001000000002,29.1,Peculiar Epidemics,Uncertain,No description
CnQingE,1645,1645,120.180205,30.784307000000002,2.1,Pestilence,Heavy,No description
CnQingE,1645,1645,113.54508600000001,30.926626000000002,29.9,Pestilence,Heavy,No description
CnQingE,1645,1645,113.622431,31.303246,60.2,Pestilence,Heavy,No description
CnQingE,1645,1645,114.38140800000001,29.850263,85.5,Pestilence,Heavy,No description
CnQingE,1645,1646,113.115321,30.646001000000002,29.1,Pestilence,Heavy,No description
CnQingE,1645,1645,112.75974,32.089828000000004,139.7,Pestilence,Heavy,No description
CnQingE,1645,1645,112.35875300000001,31.671546999999997,54.7,Pestilence,Uncertain,No description
CnQingE,1646,1647,114.351423,25.441629000000002,437.8,Pestilence,Heavy,Over 90 Days
CnQingE,1646,1646,112.95473,36.881944,1164.4,Pestilence,Heavy,No description
CnQingE,1646,1646,118.382185,35.106435,65.0,Pestilence,Heavy,No description
CnQingE,1646,1646,116.239228,27.392578000000004,207.6,Pestilence,Heavy,No description
CnQingE,1646,1647,114.697842,25.827402,141.5,Pestilence,Heavy,No description
CnQingE,1646,1646,114.38140800000001,29.850263,85.5,Pestilence,Heavy,No description
CnQingE,1646,1646,115.12872,29.825705,17.6,Pestilence,Heavy,No description
CnQingE,1646,1646,114.054103,29.458803000000003,85.7,Pestilence,Heavy,No description
CnQingE,1646,1646,112.75974,32.089828000000004,139.7,Pestilence,Heavy,No description
CnQingE,1646,1646,113.70613700000001,28.231983000000003,86.5,Pestilence,Heavy,No description
CnQingE,1646,1646,114.52979599999999,24.334068,449.3,Pestilence,Heavy,No description
CnQingE,1646,1646,106.62813700000001,29.366071,279.4,Pestilence,Heavy,No description
CnQingE,1646,1646,106.25823799999999,29.030458000000003,276.8,Pestilence,Heavy,No description
CnQingE,1647,1647,116.034228,39.25906,20.8,Pestilence,Heavy,No description
CnQingE,1647,1647,118.884879,29.608818,195.8,Pestilence,Heavy,No description
CnQingE,1647,1647,116.349202,27.922022,39.6,Pestilence,Heavy,No description
CnQingE,1647,1648,116.745557,27.93256,86.3,Pestilence,Heavy,No description
CnQingE,1647,1647,116.80721899999999,25.598784,594.0,Pestilence,Heavy,No description
CnQingE,1647,1647,113.45745900000001,27.661007,111.4,Pestilence,Heavy,No description
CnQingE,1647,1647,112.401776,27.084921,88.1,Pestilence,Heavy,No description
CnQingE,1647,1647,105.494801,31.898088,822.7,Pestilence,Heavy,No description
CnQingE,1647,1647,106.10251799999999,31.916096000000003,519.0,Pestilence,Heavy,No description
CnQingE,1647,1647,106.28493700000001,26.407725,1379.5,Pestilence,Heavy,No description
CnQingE,1647,1647,102.574867,24.610875,1977.9,Pestilence,Heavy,No description
CnQingE,1647,1647,115.29058,28.364089,33.9,Pestilence,Uncertain,No description
CnQingE,1647,1647,120.092824,32.219519,3.1,Pestilence,Uncertain,No description
CnQingE,1647,1647,121.006976,32.078142,3.8,Pestilence,Uncertain,No description
CnQingE,1647,1647,114.76111399999999,28.451940000000004,138.5,Pestilence,Uncertain,No description
CnQingE,1647,1647,115.62836200000001,23.798351999999998,408.0,Pestilence,Uncertain,No description
CnQingE,1647,1647,104.23504100000001,30.675091,493.8,Pestilence,Uncertain,No description
CnQingE,1647,1647,103.363212,30.385076,564.9,Pestilence,Uncertain,No description
CnQingE,1647,1647,103.21674399999999,30.127889,648.3,Pestilence,Uncertain,No description
CnQingE,1648,1648,120.479444,30.605512,9.0,Pestilence,Heavy,No description
CnQingE,1648,1648,120.180205,30.784307000000002,2.1,Pestilence,Heavy,No description
CnQingE,1648,1648,116.360657,26.302221999999997,340.2,Pestilence,Heavy,No description
CnQingE,1648,1648,117.468772,27.232468,514.5,Pestilence,Heavy,No description
CnQingE,1648,1648,117.342699,27.652942,307.3,Pestilence,Heavy,No description
CnQingE,1648,1648,109.989832,28.160396999999996,499.4,Pestilence,Heavy,No description
