polity_id,year_from,year_to,drought_events
CnQingE,1644,1644,49
CnQingE,1645,1645,11
CnQingE,1646,1646,102
CnQingE,1647,1647,37
CnQingE,1648,1648,21
CnQingE,1649,1649,23
CnQingE,1650,1650,36
CnQingE,1651,1651,38
CnQingE,1652,1652,130
CnQingE,1653,1653,51
CnQingE,1654,1654,42
CnQingE,1655,1655,66
CnQingE,1656,1656,42
CnQingE,1657,1657,54
CnQingE,1658,1658,17
CnQingE,1659,1659,53
CnQingE,1660,1660,39
CnQingE,1661,1661,91
CnQingE,1662,1662,67
CnQingE,1663,1663,50
CnQingE,1664,1664,75
CnQingE,1665,1665,173
CnQingE,1666,1666,52
CnQingE,1667,1667,74
CnQingE,1668,1668,27
CnQingE,1669,1669,27
CnQingE,1670,1670,94
CnQingE,1671,1671,217
CnQingE,1672,1672,63
CnQingE,1673,1673,40
CnQingE,1674,1674,78
CnQingE,1675,1675,18
CnQingE,1676,1676,8
CnQingE,1677,1677,33
CnQingE,1678,1678,104
CnQingE,1679,1679,229
CnQingE,1680,1680,80
CnQingE,1681,1681,72
CnQingE,1682,1682,32
CnQingE,1683,1683,33
CnQingE,1684,1684,63
CnQingE,1685,1685,37
CnQingE,1686,1686,43
CnQingE,1687,1687,40
CnQingE,1688,1688,37
CnQingE,1689,1689,110
CnQingE,1690,1690,100
CnQingE,1691,1691,111
CnQingE,1692,1692,54
CnQingE,1693,1693,82
CnQingE,1694,1694,18
CnQingE,1695,1695,22
CnQingE,1696,1696,57
CnQingE,1697,1697,53
CnQingE,1698,1698,24
CnQingE,1699,1699,26
CnQingE,1700,1700,15
CnQingE,1701,1701,24
CnQingE,1702,1702,29
CnQingE,1703,1703,58
CnQingE,1704,1704,36
CnQingE,1705,1705,23
CnQingE,1706,1706,39
CnQingE,1707,1707,64
CnQingE,1708,1708,62
CnQingE,1709,1709,27
CnQingE,1710,1710,27
CnQingE,1711,1711,37
CnQingE,1712,1712,26
CnQingE,1713,1713,38
CnQingE,1714,1714,98
CnQingE,1715,1715,25
CnQingE,1716,1716,71
CnQingE,1717,1717,12
CnQingE,1718,1718,26
CnQingE,1719,1719,36
CnQingE,1720,1720,85
CnQingE,1721,1721,213
CnQingE,1722,1722,130
CnQingE,1723,1723,94
CnQingE,1724,1724,29
CnQingE,1725,1725,35
CnQingE,1726,1726,21
CnQingE,1727,1727,21
CnQingE,1728,1728,34
CnQingE,1729,1729,31
CnQingE,1730,1730,17
CnQingE,1731,1731,16
CnQingE,1732,1732,25
CnQingE,1733,1733,21
CnQingE,1734,1734,9
CnQingE,1735,1735,40
CnQingE,1736,1736,24
CnQingE,1737,1737,39
CnQingE,1738,1738,85
CnQingE,1739,1739,30
CnQingE,1740,1740,14
CnQingE,1741,1741,27
CnQingE,1742,1742,47
CnQingE,1743,1743,96
CnQingE,1744,1744,49
CnQingE,1745,1745,58
CnQingE,1746,1746,16
CnQingE,1747,1747,42
CnQingE,1748,1748,69
CnQingE,1749,1749,5
CnQingE,1750,1750,25
CnQingE,1751,1751,95
CnQingE,1752,1752,61
CnQingE,1753,1753,34
CnQingE,1754,1754,11
CnQingE,1755,1755,21
CnQingE,1756,1756,29
CnQingE,1757,1757,28
CnQingE,1758,1758,30
CnQingE,1759,1759,74
CnQingE,1760,1760,26
CnQingE,1761,1761,7
CnQingE,1762,1762,16
CnQingE,1763,1763,9
CnQingE,1764,1764,20
CnQingE,1765,1765,24
CnQingE,1766,1766,8
CnQingE,1767,1767,9
CnQingE,1768,1768,72
CnQingE,1769,1769,19
CnQingE,1770,1770,18
CnQingE,1771,1771,23
CnQingE,1772,1772,12
CnQingE,1773,1773,13
CnQingE,1774,1774,55
CnQingE,1775,1775,62
CnQingE,1776,1776,18
CnQingE,1777,1777,49
CnQingE,1778,1778,191
CnQingE,1779,1779,28
CnQingE,1780,1780,15
CnQingE,1781,1781,45
CnQingE,1782,1782,30
CnQingE,1783,1783,25
CnQingE,1784,1784,46
CnQingE,1785,1785,233
CnQingE,1786,1786,116
CnQingE,1787,1787,48
CnQingE,1788,1788,21
CnQingE,1789,1789,26
CnQingE,1790,1790,11
CnQingE,1791,1791,17
CnQingE,1792,1792,76
CnQingE,1793,1793,16
CnQingE,1794,1794,31
CnQingE,1795,1795,36
CnQingL,1796,1796,26
CnQingL,1797,1797,18
CnQingL,1798,1798,26
CnQingL,1799,1799,8
CnQingL,1800,1800,40
CnQingL,1801,1801,11
CnQingL,1802,1802,121
CnQingL,1803,1803,18
CnQingL,1804,1804,38
CnQingL,1805,1805,52
CnQingL,1806,1806,30
CnQingL,1807,1807,105
CnQingL,1808,1808,29
CnQingL,1809,1809,27
CnQingL,1810,1810,47
CnQingL,1811,1811,122
CnQingL,1812,1812,60
CnQingL,1813,1813,124
CnQingL,1814,1814,136
CnQingL,1815,1815,15
CnQingL,1816,1816,24
CnQingL,1817,1817,55
CnQingL,1818,1818,22
CnQingL,1819,1819,47
CnQingL,1820,1820,133
CnQingL,1821,1821,37
CnQingL,1822,1822,25
CnQingL,1823,1823,18
CnQingL,1824,1824,37
CnQingL,1825,1825,54
CnQingL,1826,1826,48
CnQingL,1827,1827,26
CnQingL,1828,1828,30
CnQingL,1829,1829,34
CnQingL,1830,1830,40
CnQingL,1831,1831,30
CnQingL,1832,1832,94
CnQingL,1833,1833,38
CnQingL,1834,1834,45
CnQingL,1835,1835,215
CnQingL,1836,1836,70
CnQingL,1837,1837,51
CnQingL,1838,1838,34
CnQingL,1839,1839,47
CnQingL,1840,1840,23
CnQingL,1841,1841,12
CnQingL,1842,1842,26
CnQingL,1843,1843,22
CnQingL,1844,1844,20
CnQingL,1845,1845,31
CnQingL,1846,1846,90
CnQingL,1847,1847,85
CnQingL,1848,1848,18
CnQingL,1849,1849,22
CnQingL,1850,1850,30
CnQingL,1851,1851,23
CnQingL,1852,1852,40
