polity_id,year_from,year_to,famine_events
CnQingE,1644,1644,38
CnQingE,1645,1645,26
CnQingE,1646,1646,43
CnQingE,1647,1647,146
CnQingE,1648,1648,113
CnQingE,1649,1649,39
CnQingE,1650,1650,39
CnQingE,1651,1651,62
CnQingE,1652,1652,73
CnQingE,1653,1653,67
CnQingE,1654,1654,48
CnQingE,1655,1655,45
CnQingE,1656,1656,21
CnQingE,1657,1657,17
CnQingE,1658,1658,26
CnQingE,1659,1659,34
CnQingE,1660,1660,23
CnQingE,1661,1661,20
CnQingE,1662,1662,12
CnQingE,1663,1663,15
CnQingE,1664,1664,31
CnQingE,1665,1665,67
CnQingE,1666,1666,9
CnQingE,1667,1667,16
CnQingE,1668,1668,24
CnQingE,1669,1669,14
CnQingE,1670,1670,26
CnQingE,1671,1671,72
CnQingE,1672,1672,59
CnQingE,1673,1673,8
CnQingE,1674,1674,19
CnQingE,1675,1675,5
CnQingE,1676,1676,10
CnQingE,1677,1677,13
CnQingE,1678,1678,53
CnQingE,1679,1679,113
CnQingE,1680,1680,88
CnQingE,1681,1681,37
CnQingE,1682,1682,18
CnQingE,1683,1683,23
CnQingE,1684,1684,35
CnQingE,1685,1685,19
CnQingE,1686,1686,16
CnQingE,1687,1687,4
CnQingE,1688,1688,13
CnQingE,1689,1689,39
CnQingE,1690,1690,49
CnQingE,1691,1691,71
CnQingE,1692,1692,49
CnQingE,1693,1693,14
CnQingE,1694,1694,22
CnQingE,1695,1695,16
CnQingE,1696,1696,67
CnQingE,1697,1697,95
CnQingE,1698,1698,39
CnQingE,1699,1699,14
CnQingE,1700,1700,6
CnQingE,1701,1701,10
CnQingE,1702,1702,23
CnQingE,1703,1703,69
CnQingE,1704,1704,90
CnQingE,1705,1705,17
CnQingE,1706,1706,28
CnQingE,1707,1707,24
CnQingE,1708,1708,38
CnQingE,1709,1709,53
CnQingE,1710,1710,31
CnQingE,1711,1711,14
CnQingE,1712,1712,17
CnQingE,1713,1713,63
CnQingE,1714,1714,27
CnQingE,1715,1715,16
CnQingE,1716,1716,22
CnQingE,1717,1717,13
CnQingE,1718,1718,6
CnQingE,1719,1719,12
CnQingE,1720,1720,43
CnQingE,1721,1721,104
CnQingE,1722,1722,82
CnQingE,1723,1723,52
CnQingE,1724,1724,18
CnQingE,1725,1725,25
CnQingE,1726,1726,57
CnQingE,1727,1727,42
CnQingE,1728,1728,7
CnQingE,1729,1729,7
CnQingE,1730,1730,21
CnQingE,1731,1731,37
CnQingE,1732,1732,19
CnQingE,1733,1733,20
CnQingE,1734,1734,4
CnQingE,1735,1735,25
CnQingE,1736,1736,9
CnQingE,1737,1737,16
CnQingE,1738,1738,26
CnQingE,1739,1739,18
CnQingE,1740,1740,9
CnQingE,1741,1741,15
CnQingE,1742,1742,39
CnQingE,1743,1743,94
CnQingE,1744,1744,19
CnQingE,1745,1745,11
CnQingE,1746,1746,16
CnQingE,1747,1747,33
CnQingE,1748,1748,71
CnQingE,1749,1749,16
CnQingE,1750,1750,18
CnQingE,1751,1751,48
CnQingE,1752,1752,57
CnQingE,1753,1753,24
CnQingE,1754,1754,13
CnQingE,1755,1755,41
CnQingE,1756,1756,66
CnQingE,1757,1757,31
CnQingE,1758,1758,38
CnQingE,1759,1759,40
CnQingE,1760,1760,14
CnQingE,1761,1761,11
CnQingE,1762,1762,16
CnQingE,1763,1763,8
CnQingE,1764,1764,13
CnQingE,1765,1765,48
CnQingE,1766,1766,10
CnQingE,1767,1767,9
CnQingE,1768,1768,16
CnQingE,1769,1769,31
CnQingE,1770,1770,26
CnQingE,1771,1771,23
CnQingE,1772,1772,9
CnQingE,1773,1773,13
CnQingE,1774,1774,9
CnQingE,1775,1775,14
CnQingE,1776,1776,8
