polity_id,year_from,year_to,locust_events
CnQingE,1644,1644,2
CnQingE,1645,1645,7
CnQingE,1646,1646,38
CnQingE,1647,1647,100
CnQingE,1648,1648,28
CnQingE,1649,1649,18
CnQingE,1650,1650,22
CnQingE,1651,1651,6
CnQingE,1652,1652,4
CnQingE,1653,1653,5
CnQingE,1654,1654,1
CnQingE,1655,1655,10
CnQingE,1656,1656,32
CnQingE,1657,1657,4
CnQingE,1658,1658,2
CnQingE,1659,1659,4
CnQingE,1660,1660,4
CnQingE,1661,1661,8
CnQingE,1662,1662,2
CnQingE,1663,1663,3
CnQingE,1664,1664,7
CnQingE,1665,1665,13
CnQingE,1666,1666,9
CnQingE,1667,1667,76
CnQingE,1668,1668,11
CnQingE,1669,1669,0
CnQingE,1670,1670,4
CnQingE,1671,1671,4
CnQingE,1672,1672,136
CnQingE,1673,1673,5
CnQingE,1674,1674,7
CnQingE,1675,1675,3
CnQingE,1676,1676,3
CnQingE,1677,1677,9
CnQingE,1678,1678,12
CnQingE,1679,1679,57
CnQingE,1680,1680,6
CnQingE,1681,1681,3
CnQingE,1682,1682,5
CnQingE,1683,1683,3
CnQingE,1684,1684,5
CnQingE,1685,1685,4
CnQingE,1686,1686,20
CnQingE,1687,1687,18
CnQingE,1688,1688,5
CnQingE,1689,1689,8
CnQingE,1690,1690,29
CnQingE,1691,1691,119
CnQingE,1692,1692,20
CnQingE,1693,1693,18
CnQingE,1694,1694,26
CnQingE,1695,1695,4
CnQingE,1696,1696,3
CnQingE,1697,1697,6
CnQingE,1698,1698,2
CnQingE,1699,1699,11
CnQingE,1700,1700,4
CnQingE,1701,1701,4
CnQingE,1702,1702,3
CnQingE,1703,1703,5
CnQingE,1704,1704,7
CnQingE,1705,1705,17
CnQingE,1706,1706,3
CnQingE,1707,1707,1
CnQingE,1708,1708,9
CnQingE,1709,1709,12
CnQingE,1710,1710,5
CnQingE,1711,1711,14
CnQingE,1712,1712,6
CnQingE,1713,1713,2
CnQingE,1714,1714,10
CnQingE,1715,1715,3
CnQingE,1716,1716,4
CnQingE,1717,1717,6
CnQingE,1718,1718,4
CnQingE,1719,1719,0
CnQingE,1720,1720,3
CnQingE,1721,1721,7
CnQingE,1722,1722,13
CnQingE,1723,1723,43
CnQingE,1724,1724,27
CnQingE,1725,1725,6
CnQingE,1726,1726,3
CnQingE,1727,1727,4
CnQingE,1728,1728,2
CnQingE,1729,1729,7
CnQingE,1730,1730,2
CnQingE,1731,1731,3
CnQingE,1732,1732,5
CnQingE,1733,1733,3
CnQingE,1734,1734,2
CnQingE,1735,1735,10
CnQingE,1736,1736,3
CnQingE,1737,1737,9
CnQingE,1738,1738,13
CnQingE,1739,1739,12
CnQingE,1740,1740,26
CnQingE,1741,1741,3
CnQingE,1742,1742,3
CnQingE,1743,1743,3
CnQingE,1744,1744,33
CnQingE,1745,1745,5
CnQingE,1746,1746,3
CnQingE,1747,1747,3
CnQingE,1748,1748,14
CnQingE,1749,1749,0
CnQingE,1750,1750,2
CnQingE,1751,1751,9
CnQingE,1752,1752,29
CnQingE,1753,1753,10
CnQingE,1754,1754,0
CnQingE,1755,1755,9
CnQingE,1756,1756,1
CnQingE,1757,1757,3
CnQingE,1758,1758,8
CnQingE,1759,1759,30
CnQingE,1760,1760,2
CnQingE,1761,1761,1
CnQingE,1762,1762,1
CnQingE,1763,1763,13
CnQingE,1764,1764,10
CnQingE,1765,1765,6
CnQingE,1766,1766,2
CnQingE,1767,1767,0
CnQingE,1768,1768,10
CnQingE,1769,1769,2
CnQingE,1770,1770,16
CnQingE,1771,1771,7
CnQingE,1772,1772,3
CnQingE,1773,1773,2
CnQingE,1774,1774,15
CnQingE,1775,1775,14
CnQingE,1776,1776,5
CnQingE,1777,1777,7
CnQingE,1778,1778,11
CnQingE,1779,1779,0
CnQingE,1780,1780,1
CnQingE,1781,1781,1
CnQingE,1782,1782,5
CnQingE,1783,1783,3
CnQingE,1784,1784,6
CnQingE,1785,1785,21
CnQingE,1786,1786,33
CnQingE,1787,1787,13
CnQingE,1788,1788,4
CnQingE,1789,1789,2
CnQingE,1790,1790,0
CnQingE,1791,1791,4
CnQingE,1792,1792,3
CnQingE,1793,1793,6
CnQingE,1794,1794,1
CnQingE,1795,1795,6
CnQingL,1796,1796,6
CnQingL,1797,1797,3
CnQingL,1798,1798,2
CnQingL,1799,1799,11
CnQingL,1800,1800,3
CnQingL,1801,1801,3
CnQingL,1802,1802,43
CnQingL,1803,1803,26
CnQingL,1804,1804,9
CnQingL,1805,1805,14
CnQingL,1806,1806,4
CnQingL,1807,1807,4
CnQingL,1808,1808,6
CnQingL,1809,1809,2
CnQingL,1810,1810,0
CnQingL,1811,1811,6
CnQingL,1812,1812,4
CnQingL,1813,1813,2
CnQingL,1814,1814,10
CnQingL,1815,1815,1
CnQingL,1816,1816,0
CnQingL,1817,1817,5
CnQingL,1818,1818,5
CnQingL,1819,1819,0
CnQingL,1820,1820,0
CnQingL,1821,1821,8
CnQingL,1822,1822,2
CnQingL,1823,1823,9
CnQingL,1824,1824,27
CnQingL,1825,1825,40
CnQingL,1826,1826,14
CnQingL,1827,1827,4
CnQingL,1828,1828,1
CnQingL,1829,1829,1
CnQingL,1830,1830,4
CnQingL,1831,1831,4
CnQingL,1832,1832,10
CnQingL,1833,1833,22
CnQingL,1834,1834,30
CnQingL,1835,1835,146
CnQingL,1836,1836,103
CnQingL,1837,1837,40
CnQingL,1838,1838,19
CnQingL,1839,1839,5
CnQingL,1840,1840,6
CnQingL,1841,1841,7
CnQingL,1842,1842,7
CnQingL,1843,1843,12
CnQingL,1844,1844,2
CnQingL,1845,1845,8
CnQingL,1846,1846,2
CnQingL,1847,1847,11
CnQingL,1848,1848,14
CnQingL,1849,1849,9
CnQingL,1850,1850,5
CnQingL,1851,1851,13
CnQingL,1852,1852,10
CnQingL,1853,1853,37
CnQingL,1854,1854,42
CnQingL,1855,1855,38
CnQingL,1856,1856,206
CnQingL,1857,1857,260
CnQingL,1858,1858,125
CnQingL,1859,1859,24
CnQingL,1860,1860,20
CnQingL,1861,1861,12
CnQingL,1862,1862,84
CnQingL,1863,1863,28
CnQingL,1864,1864,13
CnQingL,1865,1865,5
CnQingL,1866,1866,7
CnQingL,1867,1867,9
CnQingL,1868,1868,9
CnQingL,1869,1869,16
CnQingL,1870,1870,7
CnQingL,1871,1871,7
CnQingL,1872,1872,7
CnQingL,1873,1873,5
CnQingL,1874,1874,4
CnQingL,1875,1875,10
CnQingL,1876,1876,31
CnQingL,1877,1877,71
CnQingL,1878,1878,23
CnQingL,1879,1879,8
CnQingL,1880,1880,8
CnQingL,1881,1881,10
CnQingL,1882,1882,8
CnQingL,1883,1883,1
CnQingL,1884,1884,5
CnQingL,1885,1885,5
CnQingL,1886,1886,13
CnQingL,1887,1887,1
CnQingL,1888,1888,1
CnQingL,1889,1889,3
CnQingL,1890,1890,6
CnQingL,1891,1891,27
CnQingL,1892,1892,54
CnQingL,1893,1893,8
CnQingL,1894,1894,7
CnQingL,1895,1895,8
CnQingL,1896,1896,4
CnQingL,1897,1897,6
CnQingL,1898,1898,3
CnQingL,1899,1899,12
CnQingL,1900,1900,26
CnQingL,1901,1901,11
CnQingL,1902,1902,11
CnQingL,1903,1903,4
CnQingL,1904,1904,2
CnQingL,1905,1905,2
CnQingL,1906,1906,10
CnQingL,1907,1907,4
CnQingL,1908,1908,5
CnQingL,1909,1909,7
CnQingL,1910,1910,4
CnQingL,1911,1911,6
