polity_id,year_from,year_to,conflict,expenditure
CnQingE,1674,1681,Three Feudatories,100.0
CnQingE,1715,1726,Dzunghar,50.0
CnQingE,1721,1721,Taiwan rebellion,9.0
CnQingE,1787,1788,Taiwan rebellion,10.0
CnQingL,1796,1804,White Lotus rebellion,53.0
CnQingE,1788,1792,Gurkha campaigns,10.0
CnQingL,1802,1810,Ocean Bandit campaigns,7.0
CnQingL,1850,1864,Taiping Rebellion,290.0
CnQingL,1851,1873,southwestern rebellions,518.0
CnQingL,1875,1878,Xinjiang expedition,75.0
CnQingL,1884,1885,Sino-French War,30.0
CnQingL,1839,1860,Opium Wars and Indemnities,900.0
