polity_id,year_from,year_to,silver_inflow
CnQingE,1645,1645,85
CnQingE,1646,1646,155
CnQingE,1647,1647,155
CnQingE,1648,1648,142
CnQingE,1649,1649,205
CnQingE,1650,1650,169
CnQingE,1651,1651,157
CnQingE,1652,1652,113
CnQingE,1653,1653,148
CnQingE,1654,1654,148
CnQingE,1655,1655,104
CnQingE,1656,1656,78
CnQingE,1657,1657,78
CnQingE,1658,1658,116
CnQingE,1659,1659,155
CnQingE,1660,1660,163
CnQingE,1661,1661,174
CnQingE,1662,1662,136
CnQingE,1663,1663,97
CnQingE,1664,1664,116
CnQingE,1665,1665,174
CnQingE,1666,1666,219
CnQingE,1667,1667,78
CnQingE,1668,1668,78
CnQingE,1669,1669,78
CnQingE,1670,1670,78
CnQingE,1671,1671,78
CnQingE,1672,1672,78
CnQingE,1673,1673,72
CnQingE,1674,1674,72
CnQingE,1675,1675,72
CnQingE,1676,1676,98
CnQingE,1677,1677,109
CnQingE,1678,1678,76
CnQingE,1679,1679,93
CnQingE,1680,1680,87
CnQingE,1681,1681,60
CnQingE,1682,1682,60
CnQingE,1683,1683,60
CnQingE,1684,1684,75
CnQingE,1685,1685,132
CnQingE,1686,1686,131
CnQingE,1687,1687,92
CnQingE,1688,1688,75
CnQingE,1689,1689,85
CnQingE,1690,1690,95
CnQingE,1691,1691,118
CnQingE,1692,1692,122
CnQingE,1693,1693,141
CnQingE,1694,1694,113
CnQingE,1695,1695,146
CnQingE,1696,1696,121
CnQingE,1697,1697,117
CnQingE,1698,1698,150
CnQingE,1699,1699,126
CnQingE,1700,1700,154
CnQingE,1701,1701,143
CnQingE,1702,1702,178
CnQingE,1703,1703,174
CnQingE,1704,1704,177
CnQingE,1705,1705,106
CnQingE,1706,1706,106
CnQingE,1707,1707,104
CnQingE,1708,1708,132
CnQingE,1709,1709,110
CnQingE,1710,1710,70
CnQingE,1711,1711,72
CnQingE,1712,1712,75
CnQingE,1713,1713,63
CnQingE,1714,1714,70
CnQingE,1715,1715,69
CnQingE,1716,1716,94
CnQingE,1717,1717,82
CnQingE,1718,1718,42
CnQingE,1719,1719,36
CnQingE,1720,1720,156
CnQingE,1721,1721,102
CnQingE,1722,1722,92
CnQingE,1723,1723,162
CnQingE,1724,1724,143
CnQingE,1725,1725,62
CnQingE,1726,1726,124
CnQingE,1727,1727,55
CnQingE,1728,1728,84
CnQingE,1729,1729,181
CnQingE,1730,1730,221
CnQingE,1731,1731,184
CnQingE,1732,1732,179
CnQingE,1733,1733,188
CnQingE,1734,1734,115
CnQingE,1735,1735,113
CnQingE,1736,1736,192
CnQingE,1737,1737,198
CnQingE,1738,1738,261
CnQingE,1739,1739,261
CnQingE,1740,1740,175
CnQingE,1741,1741,207
CnQingE,1742,1742,99
CnQingE,1743,1743,164
CnQingE,1744,1744,118
CnQingE,1745,1745,75
CnQingE,1746,1746,143
CnQingE,1747,1747,347
CnQingE,1748,1748,161
CnQingE,1749,1749,143
CnQingE,1750,1750,276
CnQingE,1751,1751,217
CnQingE,1752,1752,128
CnQingE,1753,1753,342
CnQingE,1754,1754,147
CnQingE,1755,1755,138
CnQingE,1756,1756,303
CnQingE,1757,1757,142
CnQingE,1758,1758,162
