polity_id,year_from,year_to,silver_stock
CnQingE,1645,1645,85
CnQingE,1646,1646,240
CnQingE,1647,1647,395
CnQingE,1648,1648,537
CnQingE,1649,1649,742
CnQingE,1650,1650,911
CnQingE,1651,1651,1068
CnQingE,1652,1652,1181
CnQingE,1653,1653,1329
CnQingE,1654,1654,1477
CnQingE,1655,1655,1581
CnQingE,1656,1656,1659
CnQingE,1657,1657,1737
CnQingE,1658,1658,1853
CnQingE,1659,1659,2008
CnQingE,1660,1660,2171
CnQingE,1661,1661,2345
CnQingE,1662,1662,2481
CnQingE,1663,1663,2578
CnQingE,1664,1664,2694
CnQingE,1665,1665,2868
CnQingE,1666,1666,3087
CnQingE,1667,1667,3165
CnQingE,1668,1668,3243
CnQingE,1669,1669,3321
CnQingE,1670,1670,3399
CnQingE,1671,1671,3477
CnQingE,1672,1672,3555
CnQingE,1673,1673,3627
CnQingE,1674,1674,3699
CnQingE,1675,1675,3771
CnQingE,1676,1676,3869
CnQingE,1677,1677,3978
CnQingE,1678,1678,4054
CnQingE,1679,1679,4147
CnQingE,1680,1680,4234
CnQingE,1681,1681,4294
CnQingE,1682,1682,4354
CnQingE,1683,1683,4414
CnQingE,1684,1684,4489
CnQingE,1685,1685,4621
CnQingE,1686,1686,4752
CnQingE,1687,1687,4844
CnQingE,1688,1688,4919
CnQingE,1689,1689,5004
CnQingE,1690,1690,5099
CnQingE,1691,1691,5217
CnQingE,1692,1692,5339
CnQingE,1693,1693,5480
CnQingE,1694,1694,5593
CnQingE,1695,1695,5739
CnQingE,1696,1696,5860
CnQingE,1697,1697,5977
CnQingE,1698,1698,6127
CnQingE,1699,1699,6253
CnQingE,1700,1700,6407
CnQingE,1701,1701,6550
CnQingE,1702,1702,6728
CnQingE,1703,1703,6902
CnQingE,1704,1704,7079
CnQingE,1705,1705,7185
CnQingE,1706,1706,7291
CnQingE,1707,1707,7395
CnQingE,1708,1708,7527
CnQingE,1709,1709,7637
CnQingE,1710,1710,7707
CnQingE,1711,1711,7779
CnQingE,1712,1712,7854
CnQingE,1713,1713,7917
CnQingE,1714,1714,7987
CnQingE,1715,1715,8056
CnQingE,1716,1716,8150
CnQingE,1717,1717,8232
CnQingE,1718,1718,8274
CnQingE,1719,1719,8310
CnQingE,1720,1720,8466
CnQingE,1721,1721,8568
CnQingE,1722,1722,8660
CnQingE,1723,1723,8822
CnQingE,1724,1724,8965
CnQingE,1725,1725,9027
CnQingE,1726,1726,9151
CnQingE,1727,1727,9206
CnQingE,1728,1728,9290
CnQingE,1729,1729,9471
CnQingE,1730,1730,9692
CnQingE,1731,1731,9876
CnQingE,1732,1732,10055
CnQingE,1733,1733,10243
CnQingE,1734,1734,10358
CnQingE,1735,1735,10471
CnQingE,1736,1736,10663
CnQingE,1737,1737,10861
CnQingE,1738,1738,11122
CnQingE,1739,1739,11383
CnQingE,1740,1740,11558
CnQingE,1741,1741,11765
CnQingE,1742,1742,11864
CnQingE,1743,1743,12028
CnQingE,1744,1744,12146
CnQingE,1745,1745,12221
CnQingE,1746,1746,12364
CnQingE,1747,1747,12711
CnQingE,1748,1748,12872
CnQingE,1749,1749,13015
CnQingE,1750,1750,13291
CnQingE,1751,1751,13508
CnQingE,1752,1752,13636
CnQingE,1753,1753,13978
CnQingE,1754,1754,14125
CnQingE,1755,1755,14263
CnQingE,1756,1756,14566
CnQingE,1757,1757,14708
CnQingE,1758,1758,14870
CnQingE,1759,1759,15038
CnQingE,1760,1760,15281
CnQingE,1761,1761,15575
CnQingE,1762,1762,15787
CnQingE,1763,1763,15989
CnQingE,1764,1764,16158
CnQingE,1765,1765,16555
CnQingE,1766,1766,16989
CnQingE,1767,1767,17337
CnQingE,1768,1768,17572
CnQingE,1769,1769,17737
CnQingE,1770,1770,17926
CnQingE,1771,1771,18235
CnQingE,1772,1772,18566
CnQingE,1773,1773,18794
CnQingE,1774,1774,18901
CnQingE,1775,1775,19171
CnQingE,1776,1776,19408
CnQingE,1777,1777,19722
CnQingE,1778,1778,19839
CnQingE,1779,1779,20000
CnQingE,1780,1780,20130
CnQingE,1781,1781,20185
CnQingE,1782,1782,20275
CnQingE,1783,1783,20483
CnQingE,1784,1784,20656
CnQingE,1785,1785,20870
CnQingE,1786,1786,21150
CnQingE,1787,1787,21558
CnQingE,1788,1788,21859
CnQingE,1789,1789,22184
CnQingE,1790,1790,22527
CnQingE,1791,1791,22632
CnQingE,1792,1792,22860
CnQingE,1793,1793,23053
CnQingE,1794,1794,23287
CnQingE,1795,1795,23500
CnQingL,1796,1796,23637
CnQingL,1797,1797,23848
CnQingL,1798,1798,24143
CnQingL,1799,1799,24491
CnQingL,1800,1800,24773
CnQingL,1801,1801,24866
CnQingL,1802,1802,25093
CnQingL,1803,1803,25503
CnQingL,1804,1804,25824
CnQingL,1805,1805,26043
CnQingL,1806,1806,26321
CnQingL,1807,1807,26312
CnQingL,1808,1808,26382
CnQingL,1809,1809,26279
CnQingL,1810,1810,26498
CnQingL,1811,1811,26574
CnQingL,1812,1812,26701
CnQingL,1813,1813,26733
CnQingL,1814,1814,26727
CnQingL,1815,1815,26836
CnQingL,1816,1816,27204
CnQingL,1817,1817,27254
CnQingL,1818,1818,27417
CnQingL,1819,1819,27859
CnQingL,1820,1820,28377
CnQingL,1821,1821,28613
CnQingL,1822,1822,28940
CnQingL,1823,1823,29258
CnQingL,1824,1824,29415
CnQingL,1825,1825,29556
CnQingL,1826,1826,29664
CnQingL,1827,1827,29361
CnQingL,1828,1828,29209
CnQingL,1829,1829,28785
CnQingL,1830,1830,28403
CnQingL,1831,1831,28129
CnQingL,1832,1832,27957
CnQingL,1833,1833,27531
CnQingL,1834,1834,26751
CnQingL,1835,1835,25971
CnQingL,1836,1836,25191
CnQingL,1837,1837,24411
CnQingL,1838,1838,23631
CnQingL,1839,1839,23621
CnQingL,1840,1840,23584
CnQingL,1841,1841,23496
CnQingL,1842,1842,23312
CnQingL,1843,1843,22459
