polity_id,year_from,year_to,socioeconomic_turmoil_events
CnQingE,1644,1644,39
CnQingE,1645,1645,24
CnQingE,1646,1646,41
CnQingE,1647,1647,73
CnQingE,1648,1648,56
CnQingE,1649,1649,30
CnQingE,1650,1650,27
CnQingE,1651,1651,27
CnQingE,1652,1652,48
CnQingE,1653,1653,50
CnQingE,1654,1654,35
CnQingE,1655,1655,24
CnQingE,1656,1656,25
CnQingE,1657,1657,8
CnQingE,1658,1658,13
CnQingE,1659,1659,26
CnQingE,1660,1660,7
CnQingE,1661,1661,19
CnQingE,1662,1662,29
CnQingE,1663,1663,23
CnQingE,1664,1664,36
CnQingE,1665,1665,36
CnQingE,1666,1666,6
CnQingE,1667,1667,19
CnQingE,1668,1668,36
CnQingE,1669,1669,21
CnQingE,1670,1670,45
CnQingE,1671,1671,60
CnQingE,1672,1672,26
CnQingE,1673,1673,7
CnQingE,1674,1674,6
CnQingE,1675,1675,13
CnQingE,1676,1676,14
CnQingE,1677,1677,11
CnQingE,1678,1678,25
CnQingE,1679,1679,38
CnQingE,1680,1680,42
CnQingE,1681,1681,22
CnQingE,1682,1682,13
CnQingE,1683,1683,16
CnQingE,1684,1684,15
CnQingE,1685,1685,9
CnQingE,1686,1686,24
CnQingE,1687,1687,8
CnQingE,1688,1688,10
CnQingE,1689,1689,13
CnQingE,1690,1690,18
CnQingE,1691,1691,42
CnQingE,1692,1692,29
CnQingE,1693,1693,17
CnQingE,1694,1694,4
CnQingE,1695,1695,4
CnQingE,1696,1696,33
CnQingE,1697,1697,23
CnQingE,1698,1698,13
CnQingE,1699,1699,5
CnQingE,1700,1700,5
CnQingE,1701,1701,12
CnQingE,1702,1702,10
CnQingE,1703,1703,30
CnQingE,1704,1704,47
CnQingE,1705,1705,11
CnQingE,1706,1706,12
CnQingE,1707,1707,10
CnQingE,1708,1708,20
CnQingE,1709,1709,27
CnQingE,1710,1710,15
CnQingE,1711,1711,10
CnQingE,1712,1712,9
CnQingE,1713,1713,15
CnQingE,1714,1714,8
CnQingE,1715,1715,8
CnQingE,1716,1716,6
CnQingE,1717,1717,5
